time,ec_flux,w_mean,L,ustar,r_Tsw,w_abs_mean,C_alpha,Ts_alpha,alpha_analytic,flux_error,w_skewness,C_skewness,zL,RNcov,tea_flux_turnipseed,w_sigma,r_cw,r_Ww,r_uw,tea_flux_emad,tea_flux_hicks,flag,rep,W_alpha,u_alpha
2020-06-15T02:00:00Z,-2.00084414431772,-0.00220964280049776,-8.68659061428171,0.0858304967272009,0.185157972930844,0.147879660800865,1.67504792623389,0.848350036608975,-0.00937455577116397,-0.0250288482584196,0.247939084339611,-0.00895414376220513,-0.575599820691382,-2.09576082205076,-2.05092296879452,0.188062171074564,-0.0805681040600374,0.078301266848994,-0.088954291353936,-2.02525051026498,-2.05138097733835,instationary,1,-1.33388054936572,0.10447935460029
2020-06-15T04:00:00Z,-2.00975744498337,0.0368620689482074,-34.2879216350104,0.150835084028591,0.278119154573469,0.173213785722409,0.24708345683455,0.204896690078195,0.136974317679441,0.0525824626706851,-0.0469904147027443,-0.294477135230284,-0.145823945038846,-0.434649611865181,-1.9040794491553,0.21366356386105,-0.133683964240036,0.212995141601902,0.122656049248694,-1.99089145246981,-1.99440439927066,instationary,1,0.125092457180953,-0.238230129450811
2020-06-15T04:30:00Z,-1.12606006444594,-0.0241467721889682,-54.5215804855783,0.157242701477455,0.336575223114389,0.160167916880773,-0.18878984670981,-0.0147063013097234,-0.0960601006859239,0.0284617887831144,0.0117303814841303,-0.157832556354755,-0.0917068059192188,-0.194349244053201,-1.09401038073466,0.20007963086041,-0.152837156985741,0.251424558215516,0.211084491958941,-1.09644131047745,-1.1194536690485,nighttime,1,-0.051222516408111,-0.4531388353015
2020-06-15T05:00:00Z,-5.40111256112331,-0.0176357665808921,-27.4655117842855,0.180833192745837,0.192647945993886,0.197065090414426,0.171454456369383,0.331219965745714,-0.0571658382311059,-0.0153438174433905,0.113437155260703,-0.212612924889949,-0.182046489403514,-0.267809605312737,-5.48398624625238,0.245938069887115,-0.233214286559503,0.380045998653591,-0.105652355486641,-5.32611194431496,-5.52826117210601,daytime,1,0.0321050068747509,-0.0552852973138517
2020-06-15T05:30:00Z,-6.61192403386245,-0.0269991205993996,-16.4424940388286,0.164973326869184,0.446330317954957,0.200488718114985,0.0201631306296414,0.0902819363026099,-0.0850227327787103,-0.00271529889885832,0.134264173498608,0.307549588696227,-0.30409012088997,-0.232348807125922,-6.6298773839109,0.25288915954465,-0.291568508570022,0.347883484277208,-0.0893252647514504,-6.55023986005747,-6.75233142164056,daytime,1,0.0169758568562844,0.410808672158588
2020-06-15T06:00:00Z,-8.83445926152108,0.00642606337821547,-15.9043305446676,0.182186994695105,0.404089812002792,0.196909708992136,0.256626715977976,0.253270725375241,0.021221010784314,0.00837490213082199,0.0991533622875554,-0.556461016180682,-0.314379783918438,-0.0434593354908664,-8.76047152982709,0.241583789033447,-0.439695469131455,0.403997478925706,0.130288010826995,-8.83348363609765,-8.76981151114634,daytime,1,0.276333874830259,-0.372177322386282
2020-06-15T06:30:00Z,-6.24336582812098,0.00763662830239789,-13.623662872834,0.161158440287674,0.506366796631537,0.181993468966969,0.207568676048267,0.162489800407279,0.0271062860615516,0.00870978961607212,0.0603978909515902,-0.034161903467314,-0.367008494460778,-0.134678611909703,-6.18898742526188,0.224744013093878,-0.395999361809757,0.395711879895672,0.0296582597550785,-6.23147508572343,-6.1999037550348,daytime,1,0.260348917262833,0.730220387384319
2020-06-15T07:00:00Z,-6.12837285913386,-0.0647536328253916,-11.961646231793,0.155590849773029,0.391327422953972,0.20785885747603,0.216247407546984,0.141017747117272,-0.2062456577094,-0.0673668921198366,0.277833810796729,-1.19778180289291,-0.418002664776229,-0.0373064145959501,-6.5412222924055,0.247682050636402,-0.330764985374375,0.333380384662423,0.00577700710189835,-6.26595376429406,-7.24427185925644,daytime,1,0.238369533751885,4.69163192149523
2020-06-15T07:30:00Z,-8.74874937391643,0.0400221010102394,-10.5491548791671,0.201557996032565,0.550928492791139,0.206186486358762,0.445616668940637,0.245950486751171,0.124291997524648,0.0864970137041704,0.110608640641942,-0.443517632840703,-0.473971617373274,-0.196036043824053,-7.99200867942646,0.255875580218735,-0.308405174220398,0.477513836587116,0.170623918432036,-8.39267978617986,-8.30491517057402,daytime,1,0.219560047079775,-0.609620073381538
2020-06-15T08:00:00Z,-14.8142852105315,-0.0249377279230423,-4.08946906010908,0.168958009890005,0.557435529856071,0.257181514822572,-0.0262807732282176,0.0100392398893337,-0.0621790288969114,0.00254832767753394,-0.0354716703532893,-0.656467405538617,-1.22265260514445,-0.144859184325789,-14.7765335575066,0.31967797267842,-0.430338898471741,0.456522553962257,0.0493028536269105,-14.7621631869812,-14.9167857035703,daytime,1,-0.0395688015112817,1.40713531097787
2020-06-15T08:30:00Z,-15.72347154462,0.00665913895238228,-3.55629830435356,0.166129308388052,0.535181733872294,0.264531300976409,0.406775155597352,0.390062311338917,0.0157457307399562,0.0102398932508227,0.51563112855764,-0.739255262285947,-1.40595629840137,-0.0590920500228796,-15.5624648744707,0.337417129370152,-0.425691509519683,0.445994245285677,0.0701280030698655,-15.7167907933542,-15.5723330235424,daytime,1,0.384283263365097,1.24048608939687
